Empresa;Situação;Dt. emissão;Dt. saída/entrada;Esp.;Nota fiscal;série;Cd. pessoa;Nome pessoa;CFOP;Vl. contábil;Aliq. ICMS;Vl. base ICMS;Vl. ICMS;Vl. isento ICMS;Vl. outro ICMS;Vl. IPI; Vl. ICMS ST;Vl. PIS;Vl. COFINS;Vl. FCP;Vl. FCP ST; Chave acesso
11;Emitida;04/11/2020;04/11/2020;NFe;3670;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;27152;0;0;0;0;27152;0;0;0;0;0;0;35201106209148000206550060000036701397203458
11;Emitida;27/10/2020;27/10/2020;NFe;3466;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;667,12;0;0;0;0;667,12;0;0;0;0;0;0;35201006209148000206550060000034661727121983
11;Emitida;27/10/2020;27/10/2020;NFe;3467;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;623,7;0;0;0;0;623,7;0;0;0;0;0;0;35201006209148000206550060000034671184564720
11;Emitida;23/10/2020;23/10/2020;NFe;3395;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;87,4;0;0;0;0;87,4;0;0;0;0;0;0;35201006209148000206550060000033951926952237
11;Emitida;19/11/2020;19/11/2020;NFe;4154;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;160549,76;0;0;0;0;160549,76;0;0;0;0;0;0;35201106209148000206550060000041541199033720
11;Emitida;10/11/2020;10/11/2020;NFe;3869;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;524,64;0;0;0;0;524,64;0;0;0;0;0;0;35201106209148000206550060000038691932071850
11;Emitida;06/11/2020;06/11/2020;NFe;3776;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;400,66;0;0;0;0;400,66;0;0;0;0;0;0;35201106209148000206550060000037761888882818
11;Emitida;30/11/2020;30/11/2020;NFe;4450;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;3162,39;0;0;0;0;3162,39;0;0;0;0;0;0;35201106209148000206550060000044501114944738
11;Emitida;14/12/2020;14/12/2020;NFe;4898;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;55,74;0;0;0;0;55,74;0;0;0;0;0;0;35201206209148000206550060000048981167146398
11;Emitida;14/12/2020;14/12/2020;NFe;4910;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;907,33;0;0;0;0;907,33;0;0;0;0;0;0;35201206209148000206550060000049101222424982
11;Emitida;14/12/2020;14/12/2020;NFe;4901;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;5264;0;0;0;0;5264;0;0;0;0;0;0;35201206209148000206550060000049011204471517
11;Emitida;14/12/2020;14/12/2020;NFe;4904;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;11893,82;0;0;0;0;11893,82;0;0;0;0;0;0;35201206209148000206550060000049041152265514
11;Emitida;23/12/2020;23/12/2020;NFe;5245;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;38401,76;0;0;0;0;38401,76;0;0;0;0;0;0;35201206209148000206550060000052451220400492
11;Emitida;08/10/2020;08/10/2020;NFe;3032;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;38,5;0;0;0;0;38,5;0;0;0;0;0;0;35201006209148000206550060000030321359710758
11;Emitida;04/11/2020;04/11/2020;NFe;3672;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;1210,02;0;0;0;0;1210,02;0;0;0;0;0;0;35201106209148000206550060000036721148088455
11;Emitida;23/10/2020;23/10/2020;NFe;3396;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;88,03;0;0;0;0;88,03;0;0;0;0;0;0;35201006209148000206550060000033961073265462
11;Emitida;02/10/2020;02/10/2020;NFe;2832;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;707,5;0;0;0;0;707,5;0;0;0;0;0;0;35201006209148000206550060000028321913342713
11;Emitida;01/10/2020;01/10/2020;NFe;2810;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;14722,81;0;0;0;0;14722,81;0;0;0;0;0;0;35201006209148000206550060000028101277782994
11;Emitida;28/10/2020;28/10/2020;NFe;3511;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;1571,3;0;0;0;0;1571,3;0;0;0;0;0;0;35201006209148000206550060000035111843933813
11;Emitida;19/10/2020;19/10/2020;NFe;3247;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;39,15;0;0;0;0;39,15;0;0;0;0;0;0;35201006209148000206550060000032471833826433
11;Emitida;19/10/2020;19/10/2020;NFe;3249;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;1932,89;0;0;0;0;1932,89;0;0;0;0;0;0;35201006209148000206550060000032491320069111
11;Emitida;13/11/2020;13/11/2020;NFe;3944;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;621,62;0;0;0;0;621,62;0;0;0;0;0;0;35201106209148000206550060000039441927264765
11;Emitida;06/11/2020;06/11/2020;NFe;3783;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;3;0;0;0;0;3;0;0;0;0;0;0;35201106209148000206550060000037831161054606
11;Emitida;20/11/2020;20/11/2020;NFe;4186;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;394,16;0;0;0;0;394,16;0;0;0;0;0;0;35201106209148000206550060000041861345001797
